"school" "sex" "age" "address" "famsize" "Pstatus" "Medu" "Fedu" "Mjob" "Fjob" "reason" "guardian" "traveltime" "studytime" "failures" "schoolsup" "famsup" "paid" "activities" "nursery" "higher" "internet" "romantic" "famrel" "freetime" "goout" "Dalc" "Walc" "health" "absences" "G1" "G2" "G3"
"1" 1 0 0.976765296922276 1 1 0 1.35430866736508 1.58833716271726 -1.58182551263931 -0.0896091537070427 -0.965176614107455 -0.965176614107455 0.540221881328045 0.0521031541178709 -0.366459671690185 1 0 0 0 1 1 0 0 0.0956785018340271 -0.123149808821762 0.672012271150555 -0.518647805748966 -0.970011983356754 -0.346519000430031 0.147195890251811 -4.20205358262767 -0.190486075242936 -0.286587543199236
"2" 1 0 -1.41263368210802 1 0 1 -1.35232578498241 -1.15259864905146 -1.58182551263931 0.74247584500121 1.87418993385952 1.87418993385952 -0.781288634823892 0.0521031541178709 -0.366459671690185 1 0 0 0 1 1 1 0 0.0956785018340271 -0.123149808821762 -1.04096018472341 0.584084678436919 0.611907200970569 -0.346519000430031 0.645144812665002 0.20925435068267 0.483997693126994 0.0276228957300467
"3" 1 0 -1.41263368210802 1 1 1 1.35430866736508 -0.238953378461888 -0.940925594339322 -0.921694152415296 -0.0187210981184635 -0.0187210981184635 -0.781288634823892 1.23744991029943 -0.366459671690185 0 1 0 1 1 1 1 1 -0.916733552456259 -1.07286443617602 -1.04096018472341 -0.518647805748966 -0.970011983356754 1.03047790084214 -0.84870195457457 0.944472339567727 0.821239577311959 0.656043773588612
"4" 1 1 -0.616167355764591 1 0 1 -0.450114300866579 -0.238953378461888 0.98177416056064 0.74247584500121 -0.0187210981184635 -0.0187210981184635 -0.781288634823892 0.0521031541178709 -0.366459671690185 0 0 0 0 1 1 1 0 0.0956785018340271 0.826564818532502 0.672012271150555 -0.518647805748966 -0.970011983356754 -0.346519000430031 -0.84870195457457 0.576863345125199 0.146755808942029 0.341833334659329
"5" 1 0 0.180298970578843 1 1 0 1.35430866736508 1.58833716271726 0.98177416056064 -0.0896091537070427 -0.0187210981184635 -0.0187210981184635 0.540221881328045 0.0521031541178709 -0.366459671690185 1 1 0 0 1 1 0 0 0.0956785018340271 -2.02257906353029 0.672012271150555 -0.518647805748966 -0.970011983356754 -1.7235159017022 -0.350753032161379 -0.525963638202387 0.483997693126994 0.341833334659329
"6" 1 1 -1.41263368210802 1 0 0 0.452097183249251 -0.238953378461888 -0.300025676039335 0.74247584500121 -0.0187210981184635 -0.0187210981184635 -0.781288634823892 0.0521031541178709 -0.366459671690185 0 1 0 0 1 1 1 0 0.0956785018340271 -1.07286443617602 -1.04096018472341 -0.518647805748966 -0.970011983356754 -1.7235159017022 -0.84870195457457 1.31208133401026 1.49572334568189 1.59867509037646
"7" 1 1 -1.41263368210802 1 1 1 0.452097183249251 1.58833716271726 0.98177416056064 0.74247584500121 -0.0187210981184635 -0.0187210981184635 -0.781288634823892 0.0521031541178709 -0.366459671690185 0 1 0 1 1 1 1 0 1.10809055612431 1.77627944588676 -1.89744641266039 -0.518647805748966 -0.970011983356754 1.03047790084214 -0.84870195457457 0.20925435068267 0.146755808942029 0.341833334659329
"8" 1 0 -1.41263368210802 1 1 1 1.35430866736508 1.58833716271726 0.340874242260653 -1.75377915112355 0.927734417870528 0.927734417870528 -0.781288634823892 0.0521031541178709 -0.366459671690185 0 1 0 0 1 1 1 0 -0.916733552456259 -0.123149808821762 -0.184473956786427 -0.518647805748966 -0.179052391193093 -1.03501745106612 -0.350753032161379 0.944472339567727 0.821239577311959 0.656043773588612
"9" 1 0 -1.41263368210802 1 1 1 -0.450114300866579 -1.15259864905146 -0.300025676039335 0.74247584500121 0.927734417870528 0.927734417870528 1.86173239747998 1.23744991029943 -0.366459671690185 0 1 0 1 1 1 1 0 1.10809055612431 -1.07286443617602 -1.04096018472341 -0.518647805748966 -0.970011983356754 0.341979450206056 -0.84870195457457 -0.525963638202387 0.146755808942029 0.341833334659329
"10" 1 1 -1.41263368210802 1 0 1 1.35430866736508 1.58833716271726 -0.940925594339322 -0.921694152415296 -0.965176614107455 -0.965176614107455 -0.781288634823892 -1.13324360206369 -0.366459671690185 0 1 0 1 1 1 1 0 0.0956785018340271 -0.123149808821762 -0.184473956786427 -0.518647805748966 0.611907200970569 1.03047790084214 -0.84870195457457 0.20925435068267 0.483997693126994 0.0276228957300467
